Name,Location,Categories,Rating,Price,Reviews
Aladdin Mediterranean Grill,Jackson,Greek,4.4,$$,246
The Station,Jackson,Pizza,3.7,,16
Bettina's Soulfood Kitchen,Jackson,Soul Food,4.7,$,30
Tuk Tuk Boom,Jackson,Thai,4.3,$$,74
Fondren Public,Jackson,Gastropubs,4.1,$$,50
Thailicious Restaurant,Jackson,Thai,4.5,,47
Trio Eatery,Jackson,Southern,5.0,,1
Green Ghost Tacos,Jackson,Mexican,3.7,$$,126
Char Restaurant,Jackson,Steakhouses,4.2,$$$,369
Sal & Mookie's,Jackson,Pizza,4.1,$$,346
Sunflower Oven,Jackson,Bakeries,4.2,,5
Kyuramen x TBaar - Jackson,Jackson,Ramen,4.2,$$,32
The Bean,Jackson,Coffee & Tea,4.4,$,89
Ole Tavern on George Street,Jackson,New American,3.8,$$,70
Estelle Southern Table,Jackson,Wine Bars,3.6,$$,69
Broad Street Baking Company,Jackson,Bakeries,3.9,$$,148
Basil's Fondren,Jackson,Delis,4.3,$,49
BRAVO! Italian Restaurant and Bar,Jackson,Italian,4.3,$$,199
Gloria's Kitchen,Jackson,Soul Food,3.9,$,42
The Pearl,Jackson,Tiki Bars,4.0,,7
Amerigo Italian Restaurant,Jackson,Italian,4.5,,10
Little Tokyo,Jackson,Sushi Bars,4.3,,6
Martin's Downtown,Jackson,American,3.7,$$,64
Steve's Uptown Cafe & Bakery,Jackson,Cafes,4.0,$$,20
Aplos Simple Mediterranean,Jackson,Mediterranean,4.0,$$,149
Crazy Cat Eat Up,Jackson,Bakeries,4.6,$$,70
Library Lounge,Jackson,Lounges,3.9,$$,60
Crawdad Hole,Jackson,Cajun/Creole,4.1,$$,84
Highball Lanes,Jackson,Bowling,3.5,,24
Johnny T's Bistro & Blues,Jackson,New American,3.7,$$,94
Nissan Cafe By Nick Wallace,Jackson,Cafes,5.0,,3
